count,HR,DY,pas_count,avg_trip_dist,avg_trip_time
21831,17,2013-08-14,1.6958453575191241,323.5238527781595,885.290595941551
28501,22,2013-08-14,1.7371671169432652,3.2396929932283083,699.0782428686713
30470,19,2013-08-14,1.7190022973416474,2.594414834263212,739.2541516245487
22112,12,2013-08-14,1.7052731548480462,364.4617723408104,858.2805264109985
25070,8,2013-08-15,1.624571200638213,2.6557834064619135,798.601595532509
16309,17,2013-08-16,1.7417376908455453,3.2606965479183296,1274.7846587773622
18864,12,2013-08-17,1.7874257845631891,2.868417090754875,800.3953562340967
19666,15,2013-08-17,1.8190277636530052,3.111116139530157,798.7987897894844
16291,10,2013-08-17,1.7654533177828249,107.26599594868333,731.879688171383
29665,19,2013-08-06,1.7088151019720208,2.5205659868531978,661.6440249452216
17616,7,2013-08-08,1.5602861035422344,288.05962250227105,626.4399409627612
25494,18,2013-08-08,1.6704714834863106,2.5856734918019932,791.0541303836196
21639,13,2013-08-06,1.6973520033273257,2.7635320486159265,826.9648782291233
10657,0,2013-08-05,1.7187763911044385,3.656270057239373,683.5129023177254
4236,2,2013-08-06,1.620868744098206,3.5072875354107667,604.9544381491974
22144,14,2013-08-07,1.7156340317919074,27.0492878432081,878.6447344653179
25495,8,2013-08-06,1.6182780937438714,2.539341439497938,784.4518140811924
19713,10,2013-10-13,1.7426064018667884,2.8664241870846645,665.1392989397859
33129,19,2013-10-10,1.7120347731594676,2.644790968637745,796.5595701651122
33513,20,2013-10-10,1.708680213648435,2.85822337600335,734.5391937457106
26373,9,2013-10-10,1.623895650855041,2.433757251734729,927.7214954688507
22969,17,2013-10-12,1.8179720492838174,2.8487992511646127,849.5033741129348
8424,1,2013-10-09,1.6837606837606838,3.2328549382716076,618.1565764482431
16795,23,2013-10-13,1.7426615064007145,3.4977618338791268,660.3359928550163
12225,4,2013-10-13,1.7697341513292433,3.719021676891616,694.2620858895706
28087,18,2013-10-12,1.803610211129704,2.656939865418161,862.028447324385
27286,8,2013-10-11,1.6174228542109508,2.6070486696474395,822.8680275599208
5619,5,2013-10-13,1.7056415732336714,4.711906033101973,718.9741946965652
23474,12,2013-10-18,1.675641134872625,2.8450809406151576,958.3347533441254
23420,12,2013-10-16,1.6479931682322801,2.64631426131512,894.785439795047
14861,8,2013-10-19,1.6513020658098378,3.03747190633201,616.4097301662068
30178,18,2013-09-21,1.8033666909669295,2.643608589038373,822.2531314202399
24195,18,2013-09-22,1.7505682992353793,3.221749121719366,902.3775573465592
24004,11,2013-09-21,1.7471671388101984,2.7217059656723888,775.2065905682387
25299,9,2013-09-17,1.6384837345349619,2.4697509782995377,918.0736788015337
5759,6,2013-10-19,1.599930543497135,4.434452161833656,670.4344504254211
27263,8,2013-10-17,1.6047390235850787,2.557551259949385,838.072699262737
3765,4,2013-10-14,1.6932270916334662,4.845248339973437,704.0268260292165
3135,3,2013-10-16,1.6389154704944178,3.581872408293459,617.6822966507177
21751,11,2013-07-09,1.6892096915084365,2.596643832467475,851.9097512758034
26143,22,2013-07-09,1.722373101786329,3.158278697930606,705.2717744711778
18336,16,2013-07-09,1.7275305410122164,2.735161976439791,871.5044720767888
20551,7,2013-07-09,1.5873680112889883,2.7597056104325803,663.5515546688725
23495,14,2013-07-10,1.7030006384337093,2.676412002553729,892.5657799531815
