date,maxtemp,mintemp,avgtemp,precipitation,snowfall,latitude,longitude
2011-01-01 00:00:00,51,38,44.5,0,0,40.84,-73.85
2011-01-02 00:00:00,52,38,45,0.01,0,40.84,-73.85
2011-01-03 00:00:00,38,29,33.5,0,0,40.84,-73.85
2011-01-04 00:00:00,42,32,37,0,0,40.84,-73.85
2011-01-05 00:00:00,40,32,36,0,0,40.84,-73.85
2011-01-06 00:00:00,33,29,31,0,0,40.84,-73.85
2011-01-07 00:00:00,36,29,32.5,0.2,2,40.84,-73.85
2011-01-08 00:00:00,32,26,29,0.01,0.1,40.84,-73.85
2011-01-09 00:00:00,34,28,31,0,0,40.84,-73.85
2011-01-10 00:00:00,36,27,31.5,0,0,40.84,-73.85
2011-01-11 00:00:00,31,25,28,0.22,2.7,40.84,-73.85
2011-01-12 00:00:00,34,26,30,0.38,6.3,40.84,-73.85
2011-01-13 00:00:00,31,20,25.5,0,0,40.84,-73.85
2011-01-14 00:00:00,30,20,25,0,0,40.84,-73.85
2011-01-15 00:00:00,39,25,32,0,0,40.84,-73.85
2011-01-16 00:00:00,37,27,32,0,0,40.84,-73.85
2011-01-17 00:00:00,27,22,24.5,0,0,40.84,-73.85
2011-01-18 00:00:00,42,26,34,1,2.2,40.84,-73.85
2011-01-19 00:00:00,42,36,39,0.07,0,40.84,-73.85
2011-01-20 00:00:00,36,31,33.5,0,0,40.84,-73.85
2011-01-21 00:00:00,34,20,27,0.37,4,40.84,-73.85
2011-01-22 00:00:00,26,16,21,0,0,40.84,-73.85
2011-01-23 00:00:00,26,13,19.5,0,0,40.84,-73.85
2011-01-24 00:00:00,25,9,17,0,0,40.84,-73.85
2011-01-25 00:00:00,37,25,31,0.07,1.5,40.84,-73.85
2011-01-26 00:00:00,35,30,32.5,0.99,10.6,40.84,-73.85
2011-01-27 00:00:00,38,31,34.5,0.58,6.2,40.84,-73.85
2011-01-28 00:00:00,36,30,33,0.01,0.1,40.84,-73.85
2011-01-29 00:00:00,37,30,33.5,0,0.1,40.84,-73.85
2011-01-30 00:00:00,40,30,35,0,0,40.84,-73.85
2011-01-31 00:00:00,32,25,28.5,0,0,40.84,-73.85
2011-02-01 00:00:00,31,26,28.5,0.2,1,40.84,-73.85
2011-02-02 00:00:00,39,27,33,0.72,0.7,40.84,-73.85
2011-02-03 00:00:00,35,26,30.5,0,0,40.84,-73.85
2011-02-04 00:00:00,35,25,30,0,0,40.84,-73.85
2011-02-05 00:00:00,42,31,36.5,0.18,0,40.84,-73.85
2011-02-06 00:00:00,45,38,41.5,0,0,40.84,-73.85
2011-02-07 00:00:00,46,34,40,0.1,0,40.84,-73.85
2011-02-08 00:00:00,41,21,31,0.14,0,40.84,-73.85
2011-02-09 00:00:00,32,17,24.5,0,0,40.84,-73.85
2011-02-10 00:00:00,30,24,27,0,0,40.84,-73.85
2011-02-11 00:00:00,39,22,30.5,0,0,40.84,-73.85
2011-02-12 00:00:00,41,29,35,0,0,40.84,-73.85
2011-02-13 00:00:00,47,30,38.5,0,0,40.84,-73.85
2011-02-14 00:00:00,58,39,48.5,0,0,40.84,-73.85
2011-02-15 00:00:00,39,28,33.5,0,0,40.84,-73.85
2011-02-16 00:00:00,47,28,37.5,0,0,40.84,-73.85
2011-02-17 00:00:00,62,46,54,0,0,40.84,-73.85
2011-02-18 00:00:00,67,43,55,0,0,40.84,-73.85
2011-02-19 00:00:00,55,25,40,0,0,40.84,-73.85
2011-02-20 00:00:00,40,23,31.5,0,0,40.84,-73.85
2011-02-21 00:00:00,39,26,32.5,0.38,4.5,40.84,-73.85
2011-02-22 00:00:00,35,19,27,0,0,40.84,-73.85
2011-02-23 00:00:00,41,24,32.5,0,0,40.84,-73.85
2011-02-24 00:00:00,44,27,35.5,0.02,0,40.84,-73.85
2011-02-25 00:00:00,53,35,44,1.44,0,40.84,-73.85
2011-02-26 00:00:00,43,32,37.5,0,0,40.84,-73.85
2011-02-27 00:00:00,51,37,44,0,0,40.84,-73.85
2011-02-28 00:00:00,60,41,50.5,0.46,0,40.84,-73.85
2011-03-01 00:00:00,45,35,40,0,0,40.84,-73.85
2011-03-02 00:00:00,55,27,41,0,0,40.84,-73.85
2011-03-03 00:00:00,33,21,27,0,0,40.84,-73.85
2011-03-04 00:00:00,43,28,35.5,0,0,40.84,-73.85
2011-03-05 00:00:00,60,39,49.5,0.02,0,40.84,-73.85
2011-03-06 00:00:00,56,49,52.5,2.33,0,40.84,-73.85
2011-03-07 00:00:00,55,36,45.5,0.11,0,40.84,-73.85
2011-03-08 00:00:00,48,31,39.5,0,0,40.84,-73.85
2011-03-09 00:00:00,46,35,40.5,0.01,0,40.84,-73.85
2011-03-10 00:00:00,54,39,46.5,1.49,0,40.84,-73.85
2011-03-11 00:00:00,57,43,50,1.17,0,40.84,-73.85
2011-03-12 00:00:00,57,40,48.5,0,0,40.84,-73.85
2011-03-13 00:00:00,52,43,47.5,0,0,40.84,-73.85
2011-03-14 00:00:00,46,40,43,0,0,40.84,-73.85
2011-03-15 00:00:00,48,36,42,0,0,40.84,-73.85
2011-03-16 00:00:00,56,39,47.5,0.46,0,40.84,-73.85
2011-03-17 00:00:00,64,46,55,0,0,40.84,-73.85
2011-03-18 00:00:00,77,52,64.5,0,0,40.84,-73.85
2011-03-19 00:00:00,61,41,51,0,0,40.84,-73.85
2011-03-20 00:00:00,49,36,42.5,0,0,40.84,-73.85
2011-03-21 00:00:00,45,37,41,0.45,0,40.84,-73.85
2011-03-22 00:00:00,51,42,46.5,0,0,40.84,-73.85
2011-03-23 00:00:00,43,35,39,0.52,0.2,40.84,-73.85
